"","Region","Subregion","Country","Rate","Count","Year"
"213","Asia","South-Eastern Asia","Indonesia","14.61","35800","2011"
"214","Asia","South-Eastern Asia","Malaysia",NA,NA,"2011"
"215","Asia","South-Eastern Asia","Myanmar","4.37","2228","2011"
"216","Asia","South-Eastern Asia","Singapore","7.71","406","2011"
"217","Asia","South-Eastern Asia","Thailand","19.73","13322","2011"
"218","Asia","Southern Asia","Bangladesh",NA,NA,"2011"
"219","Asia","Southern Asia","Bhutan",NA,NA,"2011"
"220","Asia","Southern Asia","India","24.22","302847","2011"
"221","Asia","Southern Asia","Maldives","328.68","1249","2011"
"222","Asia","Southern Asia","Nepal",NA,NA,"2011"
"223","Asia","Southern Asia","Pakistan","19.75","36204","2011"
"224","Asia","Southern Asia","Sri Lanka","325.88","66474","2011"
"225","Asia","Western Asia","Armenia","5.6","161","2011"
"226","Asia","Western Asia","Azerbaijan","1.67","153","2011"
"227","Asia","Western Asia","Bahrain",NA,NA,"2011"
"228","Asia","Western Asia","Cyprus","14.58","164","2011"
"229","Asia","Western Asia","Georgia",NA,NA,"2011"
"230","Asia","Western Asia","Israel","575.25","43069","2011"
"231","Asia","Western Asia","Jordan",NA,NA,"2011"
"232","Asia","Western Asia","Kuwait",NA,NA,"2011"
"233","Asia","Western Asia","Lebanon","172.16","8956","2011"
"234","Asia","Western Asia","Oman",NA,NA,"2011"
"235","Asia","Western Asia","Qatar",NA,NA,"2011"
"236","Asia","Western Asia","Saudi Arabia",NA,NA,"2011"
"237","Asia","Western Asia","State of Palestine","8.19","340","2011"
"238","Asia","Western Asia","Syrian Arab Republic",NA,NA,"2011"
"239","Asia","Western Asia","Turkey","324.60000000000002","238395","2011"
"240","Asia","Western Asia","United Arab Emirates",NA,NA,"2011"
"241","Asia","Western Asia","Yemen",NA,NA,"2011"
"242","Europe","Eastern Europe","Belarus","10.65","1003","2011"
"243","Europe","Eastern Europe","Bulgaria","33.36","2462","2011"
"244","Europe","Eastern Europe","Czech Republic","183.68","19409","2011"
"245","Europe","Eastern Europe","Hungary","143.61000000000001","14212","2011"
